2025-05-01 10:07:27.798 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:07 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:07","count":0}
2025-05-01 10:07:57.798 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:07 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:07","count":0}
2025-05-01 10:08:27.803 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:08 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:08","count":0}
2025-05-01 10:08:57.797 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:08 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:08","count":0}
2025-05-01 10:09:27.806 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:09 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:09","count":0}
2025-05-01 10:09:57.796 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:09 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:09","count":0}
2025-05-01 10:10:08.686 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:10 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:10","count":0}
2025-05-01 10:10:37.862 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:10 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:10","count":0}
2025-05-01 10:11:07.871 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:11 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:11","count":0}
2025-05-01 10:11:37.107 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:11 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:11","count":0}
2025-05-01 10:12:06.319 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:12 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:12","count":0}
2025-05-01 10:12:36.324 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:12 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:12","count":0}
2025-05-01 10:13:06.321 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:13 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:13","count":0}
